song,artist,lyrics
"""Love On The Line""",Gretchen Wilson,"Woke up cryin' with pictures of you in my head Lyin' next to the thing that you don't know I did I could tell on myself but I don't think that I have the nerve If I lose you I know that it's what I deserve  In a way I'm glad that my guilt keeps Fallin' on me like rain At the same time I can't help but wonderin' why I put your love on the line  I could stop but the truth is I don't think I can It's not something I wanted, it's something I planned Boy, I love you, I need you, I want you to stay I keep my secrets to keep you from walking away  In a way I'm glad that my guilt keeps Fallin' on me like rain At the same time I can't help but wonderin' why I put your love on the line  In a way I'm glad that my guilt keeps Fallin' on me like rain At the same time I can't help but wonderin' why I put your love on the line  Put your love on the line Put your love on the Put your love on the line"
"""Shit You Love""",Arizona Zervas,"Rolling through the city in that matte black whip Ah yeah! Ah yeah!  Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love  Yeah she love it when I text call her baby She pull up and scoop me in the mercedes On the one oh one swerving going 80 She put on my song and started rocking to some AZ She love Gucci, Louis, Fenty and Givenchi But she still love me when I rock boots and a long tee She get new shit every week don't do laundry Cause daddy got the bucks like he was playing in Milwaukee Oh now, gotta slow down She just wants somebody she can hold down Going home now.Bout to go down But I don't mind riding all night with you  Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love  Shopping on rodeo she like spending all her cash Ten for the Gucci another twenty for the bag Rolling up a Swisher she love pumping on the gas Always poppin Addy but she never go to class Wake up hit the gym yeah she do it everyday Modeling her body she got money on the way Barely got a heart but she pretty in the face Just as easy she don't want it yeah she do it for the chase Like Oh now, gotta slow down She just wants somebody she can hold down Going home now.Bout to go down But I don't mind riding all night with you  Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love"
"""She""",Bobby Goldsboro,She is love Smilin' in the sunshine She is love Smilin' in the rain As helpless as a baby To make me feel a man But only just a step away If I should meet her hand  And she knows I will follow Wherever she may lead She is all I live for She is everything I need  She is love Wakin' in the morning She is love And she is life to me As fragile as a robin's egg When she lies asleep But she could break the strongest man If he could see her weep  But you will never see her cry As long as I'm around I'll give her only happy days And when the Sun goes down  She and I We'll fly away together She and I We will be as one
"""Love Me So""",Stereo Kicks,"[James:] Can we locate where we went wrong? It's driving me crazy It's tiring daily  [Reece:] And though she tries her best to stay strong I'm feeling so guilty Just wanna be guilt free  [Tom:] But, if you save me now You can brave the doubt You can pull me out 'Cos darling I have been  [All:] Crying on my bedroom floor, Wishing I was still in your arms There I always seemed so sure That you love me, that you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh  [Casey:] Will love heal all of this pain Maybe the scars but Not a broken heart 'cos  [James:] A heart in pieces ain't the same I told you, you have the ability to save  [Tom and James:] To save me now If you can brave the doubt You can pull me out 'Cos darling I have been  [All:] Crying on my bedroom floor Wishing I was still in your arms There I always seemed so sure That you love me, that you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh  [James:] I tried my best to understand What makes a man Is it the path where he began Or the one where he stands now, now  [Tom:] 'Cos I've been crying on my bedroom floor Wishing I was still in your arms Cos there I always seemed so sure [James:] That you love me That you love me so  [All:] Crying on my bedroom floor Wishing I was still in your arms There I always seemed so sure That you love me, that you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh That you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh"
"""Love Song (Interlude)""",Haley Smalls,After what I'm 'bout to say It will never be the same  All night Just you and I I just wanna feel your body I just want you to love me By candlelight I'd love you right Through the night You're whats on my mind So would you mind I don't bite All the signs Say you're mine Every time In your eyes I feel alive But at night I close my eyes And hope This comes out right I  And that's why I'm sending you this love song I wanna tell you how I feel because I'm falling I hope you're not too sick of love songs I wanna tell you how I feel but I don't  Oh How do I tell you this now baby Oh I'm more than just a friend now baby How do I How do I tell you this How do I How do I tell you this Oh I'm more than just a friend now baby
"""Love Token""",Brian May,"Mama's in love, Papa's in love It's such a shame they don't love each other papa's in a jam, Mama's throwin' pans The game's up - it's time to run for cover  Everybody's cryin' but they can't stop hopin' Everybody's lookin' for the door that's open Mama's making heat to keep the old fire smokin' Papa's hangin' on to his old love token.  You got love but you ain't got style You want your freedom but in a while You're lost children but you know for sure You gotta find out what your love is for.  (Oh baby life ain't what it used to be) (You're tellin' me - not since you 'been hangin' round here) (Mama what you screamin' for actin' like a demon for And hey mama quit wavin' them hands in the air) (Don't talk to me that way) (Well I don't see no reason to raise your voice to me) (You put fat in the fire you got meat for brains) (Well you don't give me comfort and a Man's gotta get it somewhere) (Ooh that's a shame) (Yeah, well......) Mama's hangin' on to every word that's spoken But Papa's hangin' onto his old love token  Oh I don't wanna leave you Mama Oh I don't wanna leave you Papa  Long haired women gonna turn you to stone You can't beat 'em - cos you need 'em You gotta live - you gotta love Your love token's gotta fit like a glove  Listen to the story 'bout the dream that's broken You gotta keep a hold of your old love token  Oh I don't wanna leave you Mama Oh I don't wanna leave you Papa No I don't wanna leave you alone But I'm gonna have to Babe"
"""World Without Love""",Bobby Goldsboro,"Please lock me away And don't allow the day Here inside where I hide With my loneliness  I don't care what they say I won't stay in a world without love  Birds sing out of tune And rain outside hide the moon I'm OK, here I'll stay With my loneliness  I don't care what they say I won't stay in a world without love  So I wait and in a while I will see my true love's smile He may come, I know not when When he does I lose So baby until then  Lock me away And don't allow the day Here inside where I hide With my loneliness  I don't care what they say I won't stay in a world without love  So I wait and in a while I will see my true love's smile He may come, I know not when When he does I know So baby until then  Lock me away And don't allow the day Here inside where I hide With my loneliness  I don't care what they say I won't stay in a world without love  I don't care what they say I won't stay in a world without love"
"""Say It Again""",Marie Digby,"The thing about love, is I never saw it coming You kinda crept up and took me by suprise And now there's a voice inside my heart that's got me wondering Is this true? I wanna hear it one more time  Move in a little closer Take it to a whisper Get just a little louder Say it again for me Cause I love the way it feels when you are telling me that I'm the only one who blows your mind Say it again for me It's like the whole world stops to listen when you tell me you're in love Say it again  The thing about you is you know just how to get me You talk about us like there's no end in sight The thing about me is that I really wanna let you open the door and walk into my life  Move in a little closer Take it to a whisper Get just a little louder Say it again for me Cause I love the way it feels when you are telling me that I'm the only one who blows your mind Say it again for me It's like the whole world stops to listen when you tell me you're in love  And it feels like it's the first time That anybody's ever brought the sun without the rain And never in my whole life Have I heard words as beautiful as when you say my name  Say it again for me Cause I love the way it feels when you are telling me that I'm the only one who blows your mind Say it again for me It's like the whole world stops to listen when you tell me you're in love  Say it again Say it again Say it again  Say it again Say it again Say it again  Say it again Say it again Say it again  When you tell me you're in love  Say it again"
"""Is It Love""",Haley Smalls,"I got you running through my mind Sorta like a love song You pull me closer every time And now you got me hooked on  This feeling is so hard to describe Tryna find the right words to say I just want you here every night and day And when I'm with you I'm losing time Ain't nobody else makes me feel this way  So I been wondering Is it love All night long Is it love All night long  Cuz we could sit and talk 'bout the moon and stars Late at night till tomorrow And let you see right through me Whenever you're around I can barely fight it Every time you touch me you touch my soul This is metaphysical, yeah  This feeling is so hard to describe Tryna find the right words to say I just want you here every night and day And when I'm with you I'm losing time Ain't nobody else makes me feel this way  So I been wondering Is it love All night long Is it love All night long"
"""Last Night On Earth""",Delta Goodrem,It's the last night on earth before the great divide My hands are shaking time was never on our side And there's no such thing as a beautiful goodbye As an ordinary day I prayed for you a thousand times  It's never enough No matter how many times I tried to tell to tell you this is love  If tomorrow never comes I want you to know right now that I I'm gonna love you until the day I die If tomorrow falls asleep can you hold me first I'm gonna love you like it's the last night on earth Like it's the last night on earth  A penny for your thoughts A picture so it lasts Let's knock down the walls of immortality Your fingers on my skin only you can hear my fear Only you can help me heal I see forever with you here  It's never enough no matter how many miles stand between us this is love  If tomorrow never comes I want you to know right now that I I'm gonna love you until the day I die If tomorrow falls asleep can you hold me first I'm gonna love you like it's the last night on earth  It's never enough No it's never enough (it's never enough) Oohh  The afterglow The horizon line The shadows fall Will you still be mine Will you still be mine Will you still be mine I ask  If tomorrow never comes I want you to know right now that I I'm gonna love you until the day I die If tomorrow falls asleep can you hold me first I'm gonna love you like it's the last night on earth
"""Let's Hurt Tonight (BUNT. Remix)""",OneRepublic,"When, when we came home Worn to the bones I told myself, ""This could get rough"" And when, when I was off, which happened a lot You came to me and said, ""That's enough""  Oh, I know that this love is pain But we can't cut it from out these veins, no  So I'll hit the lights and you lock the doors We ain't leaving this room 'til we both feel more Don't walk away, don't roll your eyes They say love is pain, well darling, let's hurt tonight Ah-ooh-ooh, ah-ooh-ooh  When, when you came home Worn to the bones I told myself, ""This could get rough""  Oh, I know you're feeling insane Tell me something that I can explain, oh  I'll hit the lights and you lock the doors Tell me all of the things that you couldn't before Don't walk away, don't roll your eyes They say love is pain, well darling, let's hurt tonight If this love is pain, then darling, let's hurt, oh tonight Ah-ooh-ooh, ah-ooh-ooh  So you hit the lights and I'll lock the doors Let's say all of the things that we couldn't before I won't walk away, won't roll my eyes They say love is pain, well darling, let's hurt tonight If this love is pain, then honey let's love tonight"
"""Lose Your Love""",Vanessa Hudgens,"[Chorus] If I should lose your love boy Shame on me I was just too stubborn Too blind to see That I would lose your love, boy Just tell me how to get you back Cause I could never lose your love Don't wanna lose your love  I remember the moment I first looked in your eyes And seen nothin looking back at me It was then I realized that even though you were there Your heart was long gone An I knew right then how lost I'd be Before you move on  [Chorus]  Before its final, before you close the door I am asking you, please can we try this once more Just hold me tight, don't ever let go And if never comes around I want you to know I want you, I need you, can't lose you tonight I won't do nothing to lose you I won't lose this fight I'm going to make it right  [Chorus]"
"""Wait""",Addison Road,"Why do you choose to act this way?; Why do you choose to play this game? One day you'll wake up and find that we're all gone Life could be so much more for you; Love and laughter it's all true If smiles are worth a million words just show me one  And I will love, and I will wait for you We're getting nowhere, stop messing around and just be you Yeah yeah, yeah yeah  You're not easy in my life but neither am I; We've clashed for way too long The truth is hitting home But I will love you when it's hard If this is how life goes; I'm ready for our show"
"""Now I'm Here""",Brian May,Here I stand (here I stand..) Look around around around around (Around around around around..) But you won't see me (you won't see me..) Now I'm here (now I'm here..) Now I'm there (now I'm there..) I'm just a just a new man Yes you made me live again  A baby I was when you took my hand And the light of the night burned bright And the people all stared didn't understand But you knew my name on sight Whatever came of you and me? America's new bride to be Don't worry baby I'm safe and sound Down in the dungeon just Peaches and me Don't I love her so? Yes she made me live again Yeah!  A thin moon me in the smoke screen sky Where the beams of your love light chase Don't move don't speak don't feel no pain With the rain running down my face Your matches still light up the sky And many a tear lives on in my eye Down in the city just Hoople and me Don't I love him so don't I love him so?  Whatever comes of you and me I love to leave my memories with you  Now I'm here (now I'm here.) Think I'll stay around around around (Around around around around..) Down in the city just you and me (Down in the city just you and me..)  Don't I love you so?  Go Go Go Little Queenie
"""I Do""",Haley Smalls,"Are you really gon' love me forever, babe That's a long time Yeah When the going gets tough, and we're older, babe Will you still try Yeah, yeah Are you gonna get tired of knowing I'm the only one you coming home to, babe If I tell you to leave, are you going, babe If you feel like you say will you show it, babe  Or will you change your mind Someday after all this time Just to up and say goodbye You love me, but love is blind We're on forever time And that's such a scary line Still, but if you asked me now I think you know that I  I do I do You know I'll say I do I do I do You know I'll say I do I do I do You know I'll say I do I do I do  But tell me can you handle the pressure When it's raining can you handle the weather Will you stay strong through whatever Will you hold on, make it better  Or will you change your mind Someday after all this time Just to up and say goodbye You love me, but love is blind We're on forever time And that's such a scary line Still, but if you asked me now I think you know that I  I do I do You know I'll say I do I do I do You know I'll say I do I do I do You know I'll say I do I do I do"
"""Thank You Very Much""",Steve Aoki,"I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters  Ay first off let me check in to the flight She want all this money she don't need to know my name Ok now I get the cash I get it fast I hit and dash I don't love that ass I put that work in so I deserve it I put that work in you see me working yeah Pride over profit nigga Came from the bottom we ain't stoppin' nigga  Now we done came up to stay up Lets thank these haters who made us Wanna get some paper I thank you Now I'm having acres it's great bust  I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters yeah  Man I love them haters Man I love them haters Man I love them haters Can't you tell I love them haters yeah Man I love them haters Can't you tell I love them haters yeah Can't you tell I love them haters yeah  Now we done came up to stay up Lets thank these haters who made us Wanna get some paper I thank you Now I'm having acres it's great bust  I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters yeah  Man I love them haters Man I love them haters Man I love them haters Can't you tell I love them haters yeah Man I love them haters Can't you tell I love them haters yeah  Now we done came up to stay up Lets thank these haters who made us Wanna get some paper I thank you Now I'm having acres it's great bust  I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters yeah  Can't you tell I love them haters yeah"
"""If You Wait For Love""",Bobby Goldsboro,"Do dow dow dow...  I've got so much to say And so little time to talk And with so little time It's best to say nothing at all  Just let me love you while I can When I'm gone you'll understand  That if you wait for love It may be too late for love This day you'll never forget And when I'm gone You'll have no regret  Do dow dow dow...  Though I'm leaving today I'll remember this day For a long, long time And I'll remember the way That I heard you say you're mine  Just let me love you while I can When I'm gone, you'll understand  That if you wait for love It may be too late for love Today you are mine, can't you see It's now or never for me  Do dow dow dow...  Aw, just let me love you while I can When I'm gone, you'll understand  That if you wait for love It may be too late for love This day you'll never forget And when I'm gone You'll have no regret  Do dow dow dow..."
"""Knowing You""",Aaradhna,"[VERSE 1:] In this world of sorrow, And broken dreams, I found a place Here I can hide. In the depth of your charms, Is all I need to know 'coz if I could spend my life with you  [CHORUS:] Knowing you so long I can neva let you go Things that we have done I will always love you so yeah All I need is you in my life, To make everything come true Hold me closer forever, I love you.  [VERSE 2:] If I could spend my life forever in your arms, would yah let me baby. Lead me into your arms, and I'll be happy to hold you once again Again  [CHORUS:] Knowing you so long I can neva let you go Things that we have done I will always love you so yeah All I need is you in my life, To make everything come true Hold me closer forever, I love you  Baby neva let me go And I, will always love you so Baby neva let me go Hold me in your arms. Hold me in your arms  [CHORUS x2]"
"""Mull It Over""",Hot Country Knights,"Baby, you've made up your mind That for you and me, it's goodbye time And your heart is movin' on But on second thought, you could be wrong  Baby, maybe you should mull it over Give me one more chance (One more chance) Don't let your love grow any colder Take me back and I swear I'll love you Longer than the hair on my shoulder Oh, baby, maybe you should mull it over Mmm  If you leave, you'll never know All the different lengths I'd go To give your love a home So please search your heart with a fine-tooth comb  Baby, maybe you should mull it over Give me one more chance (One more chance) Don't let your love grow any colder Take me back and I swear I'll love you Longer than the hair on my shoulder Oh, baby, maybe you should mull it over  I know if you just stop And think a little while You'll see that what we got Ain't ever goin' out of style  Baby, maybe you should mull it over, mm From front to back, think it through 'Cause the long and the short of it is I love you Don't cut me off and I swear I'll love you Longer than the hair on my shoulder Oh, baby, maybe you should mull it over  Oh, baby, maybe you should mull it over Mmm, yeah"
"""The Best Part Of Revenge""",Travie McCoy,"I want you to love me I want you to care You should be pulling out your hair Oh baby I just wanna watch you Watching me pretend 'Cause that's the best part of revenge  Wrote that shit you hit the last nail in the coffin We scream too much love too little hate too often I love you and I say it 'cause I mean it And I refuse to be simply convenient  How we go from so sweet to pretty little paradox Now I got cold feet literally my last pair of socks Oh well, it's all tall tales and short tempers Please bow, all hail the court jester  I want you to love me I want you to care You should be pulling out your hair Oh baby I just wanna watch you Watching me pretend 'Cause that's the best part of revenge  I want you to love me I want you to care You should be pulling out your hair Oh baby I just wanna watch you Watching me pretend 'Cause that's the best part of revenge  One minute we bickering Next it's all tickling Cupcake and I bake it like we happy or something If I had me a button and I could push every time you acting dumb I swear to gosh I'd have a sore thumb  Oh my darling, oh my darling hush You got the type of mouth that make George Carlin blush And I'm still trying to figure out how all these neighbors know my name Silly me, it's probably when we broke the bed frame  (Ah! Ah! Travie!)  I want you to love me I want you to care You should be pulling out your hair Oh baby I just wanna watch you Watching me pretend 'Cause that's the best part of revenge  Oh baby I want you to love me I want you to care You should be pulling out your hair Oh baby I just wanna watch you Watching me pretend 'Cause that's the best part of revenge  I used to try to nullify the pain but now I love it 500 days of bummer [?] shove it And I'm not sure anymore, more You're not the same girl that you were before, for  You know I've never been one for confrontations Somehow you find negative connotations in positive conversations Oh, sometimes I hate you but I love you that'll never change I can't explain I just chalk it up to the fact that  I want you to love me I want you to care You should be pulling out your hair Oh baby I just wanna watch you Watching me pretend 'Cause that's the best part of revenge  Oh, baby, I want you to love me I want you to care You should be pulling out your hair Oh baby I just wanna watch you Watching me pretend 'Cause that's the best part of revenge"
"""Hello""",Theresa Sokyrka & Jesse Brown,"I've been alone with you inside my mind And in my dreams, I've kissed your lips a thousand times I sometimes see you pass outside my door Hello, is it me you're looking for?  I can see it in your eyes I can see it in your smile You're all I've ever wanted And my arms are open wide 'Cause you know just what to say And you know just what to do And I want to tell you so much I love you  I long to see the sunlight in your hair And tell you time and time again how much I care Sometimes I feel my heart will overflow Hello, I've just got to let you know  'Cause I wonder where you are And I wonder what you do Are you somewhere feeling lonely? Or is someone loving you? Tell me how to win your heart For I haven't got a clue But let me start by saying I love you  Hello, is it me you're looking for?  'Cause I wonder where you are And I wonder what you do Are you somewhere feeling lonely? Or is someone loving you? Tell me how to win your heart For I haven't got a clue But let me start by saying I love you I love you"
"""Little Things""",Bobby Goldsboro,"Little things that you do make me glad I'm in love with you Little things that you say make me glad that I feel this way The way you smile, the way you hold my hand And when I'm down you always understand You know I love those  Little things in my ear that you say when there's no one near Little things that you do let me know that your love is true When we walk, you like to hold my hand And when we talk you tell me I'm your man You know I love those  Little things that I hear, the little things you whisper in my ear I know there ain't nobody else like you No one could do the little things you do  Little things that you do make me glad I'm in love with you Little things that you say make me glad that I feel this way When we walk, you like to hold my hand And when we talk you tell me I'm your man You know I love those  Little things that I hear, the little things you whisper in my ear I know there ain't nobody else like you No one could do the little things you do"
"""Hot Patootie""",Brian May,"Hey pussycat What's going down  Whatever happened to saturday night When you dressed up sharp and you felt all right It don't seem the same since cosmic light Came into my life, I thought I was divine, wo wo  I used to go for a ride with a chick who'd go And listen to the music on the radio A saxophone was blowing on a rock'n'roll show We climbed in the back seat, and really had a good time  Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul, I really love that rock and roll  My head was swimming from the perfume I smelled My hands kind of fumbled with her white plastic belt I'd taste her baby pink lipstick and that's when I'd melt She'd whisper in my ear tonight she really was mine  Get back in front, put some hair oil on Buddy Holly was singing his very last song (bop sho wop) With your arms around your girl you'd try to sing along (bop sho wop) It felt pretty good (bop sho wop) because you'd really had a good time  Hot patootie, bless my soul (yeah yeah) I really love that rock and roll (rock and roll) Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul (I really love) I really love that rock and roll Hot patootie, bless my soul, I really love that rock and roll  Hey  Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul, I really love that Hot patootie, bless my soul (I really love) I really love that rock and roll Hot patootie, bless my soul, I really love that (yeah yeah yeah) Hot patootie, bless my soul, I really love that rock and roll (I really love that) Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul, I really love that rock and rock and rock and roll Hot patootie!"
"""Let Me Love You For Tonight""",Bobby Goldsboro,I could never find the words to say Just how much you mean to me And for me to say I love you Would not be fair to you or me Though I'm leaving with the morning sun These precious days we won't forget And when I kiss you for the last time We will part with no regrets  Let me love you for tonight And when I leave you in the morning I will leave no strings behind to tie you down And I will keep you in my mind I'll think of you from time to time And who knows I might pass this way again And who knows maybe you might take me in  This could never last forever And there's no reason to pretend Though we had a good thing going We both knew it had to end Let us make no foolish promises Just let me love you for a while And when the sun comes up tomorrow I will leave you with a smile  Let me love you for tonight And when I leave you in the morning I will leave no strings behind to tie you down And I will keep you in my mind I'll think of you from time to time And who knows I might pass this way again And who knows maybe you might take me in  There are many things that I could say But they might only cause you pain And all our days were built with sunshine And the light might bring the rain Let me love you like I know I can And if you give yourself to me In the shadows of this evening We will build sweet memories  Let me love you for tonight And when I leave you in the morning I will leave no strings behind to tie you down And I will keep you in my mind I'll think of you from time to time And who knows I might pass this way again And who knows maybe you might take me in
"""Passenger""",OneRepublic,"I saw your face, stuck in a crowd Silently screaming out loud I felt the beat echo your heart Throw me a line 'cause it's too far  All that you want, all that you see All that you thought that you believe  Is it enough? Do you think it's too much? You say you only trust what you can touch  All you got to do is reach out for it  All that you want Is standing right in front of you All that you need Is love All that you want Is standing right in front of you All that you need Is love  Walked to the ledge, put out my hands Scared to the bones of where I'd land Traded my fears, traded my thoughts They disappear behind your walls  All that I want, all that I need All that I thought I believed Was it enough? Sure not too much? Now you're the only thing that I can trust  All you got to do is reach out for it  All that you want Is standing right in front of you All that you need Is love All that you want Is standing right in front of you All that you need Is love  It's all for you It's all for you"
"""I've Been In Love""",Gretchen Wilson,"I've been right, I've been wrong I've been weak, I've been strong I think it's time I thought about moving on Oh, baby, can't you see? I've been in love too long Yeah  This time tomorrow, I'll be getting on a plane I'll be flying free again Can't let no sorrow be getting in my way, no baby You almost got to me, yeah But there's too much of the world to see You will find someone else, but I can't fool myself  I've been right, I've been wrong I've been weak, I've been strong I think it's time I thought about moving on Oh, baby, can't you see? I've been in love too long I've been smart, been a fool Played the game by the rules When you wake up in the morning, hey I'll be gone Ain't nothing that you done no no, just been in love too long  We had our moments, but the time is ticking by Gotta get back to my life That wind keeps blowing, I'm gonna spread my wings over everything I've had some times with you, yeah, but it's too long overdue Sweet baby, sleep tonight, 'cause I can't live a lie  I've been right, I've been wrong I've been weak, I've been strong I think it's time I thought about moving on Oh, baby, can't you see? I've been in love too long I've been smart, been a fool Played the game by the rules When you wake up in the morning, hey I'll be gone Ain't nothing that you done no no, just been in love too long  Ain't nothing personal, lover Ain't got no eyes for another My heart just cannot be smothered Don't you know, I gotta get up and go, get up and go, hey Doo doo doo doo doo, mm  I've been smart, been a fool Played the game by the rules When you wake up in the morning, hey I'll be gone Ain't nothing that you done, I've been in love too long Ain't nothing that you done, no no I've been in love too long"
